vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
MS SATYADEEP HEIGHTS,1406324.0,2,703162.0,34.34,V1
DIVYAANSH CONSTRUCTION COMPANY,1405819.0,3,468606.3333333333,44.50333333333333,V1
Khatakhedi,1400000.0,1,1400000.0,16.23,V1
MAIHER SHAKTI ENTERPRISES,1398772.0,2,699386.0,34.120000000000005,V1
MUNGI NAVEEN REDDY,1397974.0,2,698987.0,33.86,V1
SADIKUL ISLAM,1397070.0,10,139707.0,53.63000000000001,V1
Shivchandra Kumar Pandit,1395806.0,3,465268.6666666667,44.44333333333333,V1
ASHOK INFRAVENTURE,1392400.0,2,696200.0,34.16,V1
SHRI KABIR CONSTRUCTION,1391478.0,1,1391478.0,22.77,V1
ARP MOTERS PVT LTD,1386900.0,1,1386900.0,16.0,V1
MONDAL ENTERPRISE,1384739.0,1,1384739.0,16.0,V1
Santhosh M D,1379405.0,1,1379405.0,16.0,V1
HASAN SEIKH,1367724.0,1,1367724.0,23.19,V1
Sulata Baroi,1350689.0,1,1350689.0,16.0,V1
DHANDAYUTHAPANI K,1348754.0,1,1348754.0,27.11,V1
CIMECON ENTERPRISES,1348497.0,1,1348497.0,16.0,V1
BHAGYADHAR SAHOO,1340703.0,1,1340703.0,16.0,V1
MAGA BUILDERS,1333598.0,1,1333598.0,16.0,V1
MARUF ALI CONTRACTOR,1322274.0,1,1322274.0,16.0,V1
MS CHOWDHURY CONSTRUCTION,1307006.0,1,1307006.0,16.21,V1
RAM CHANDAR YADAV,1302458.0,1,1302458.0,16.21,V1
SAMARTH BROTHERS,1301663.0,2,650831.5,34.43,V1
ANBARASU,1300000.0,1,1300000.0,16.21,V1
Maya soren,1300000.0,2,650000.0,33.81,V1
SIBSANKAR CHOWDHURY,1299000.0,1,1299000.0,16.21,V1
assistant engineer sahpur,1298951.0,2,649475.5,33.81,V1
ASSISTANT ENGINEER LAEO SHEIKHURA BARBIGHA,1286889.0,1,1286889.0,16.38,V1
MONDAL CONSTRUCTION,1281469.0,1,1281469.0,16.38,V1
AVINESH KUMAR OJHA,1276416.0,1,1276416.0,16.38,V1
ARYAN ENTERPRISES,1250014.0,3,416671.3333333333,45.13666666666666,V1
