mp_key,mp_name,state,constituency,projects_analyzed,total_recommended,total_sanctioned,total_expenditure,total_cost_overrun,average_risk_score,max_risk_score,high_risk_projects,critical_projects,anomaly_projects,utilization_pct,risk_category
BAPI HALDAR,BAPI HALDAR,West Bengal,MATHURAPUR(SC),2,508710.0,849380.0,497927.0,148547.0,11.49,13.58,0,0,2,58.62240693211519,Low
DR RANI SRI KUMAR,DR RANI SRI KUMAR,Tamil Nadu,TENKASI(SC),2,5582079.0,4482079.0,0.0,0.0,11.114999999999998,12.78,0,0,0,0.0,Low
NAVEEN JINDAL,NAVEEN JINDAL,Haryana,KURUKSHETRA,2,0.0,1600000.0,1063230.0,0.0,11.02,21.77,0,0,1,66.451875,Low
KONDA VISHWESHWAR REDDY,KONDA VISHWESHWAR REDDY,Telangana,CHELVELLA,2,0.0,998483.0,1237552.0,739069.0,10.91,15.14,0,0,1,123.94322186757311,Low
OMPRAKASH BHUPALSINH ALIAS PAWAN RAJENIMBALKAR,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Maharashtra,OSMANABAD,4,1049942.0,1599674.0,1978374.0,1228374.0,10.8875,16.46,0,0,1,123.67357349059871,Low
MANICKAM TAGORE B,Manickam Tagore B,Tamil Nadu,VIRUDHUNAGAR,2,3300000.0,3249124.0,744259.0,0.0,10.785,12.26,0,0,0,22.906451092663747,Low
RAMPRIT MANDAL,Ramprit Mandal,Bihar,JHANJHARPUR,1,200000.0,200000.0,0.0,0.0,10.75,10.75,0,0,0,0.0,Low
K C VENUGOPAL,K. C VENUGOPAL,Kerala,ALAPPUZHA,4,4799776.0,4658334.0,154707.0,0.0,10.747499999999999,23.07,0,0,1,3.321080025605721,Low
ABHAY KUMAR SINHA,ABHAY KUMAR SINHA,Bihar,AURANGABAD_BR,3,998133.0,1096748.0,2005001.0,1207253.0,10.74,14.76,0,0,2,182.81328071717476,Low
JYOTSNA CHARANDAS MAHANT,Jyotsna Charandas Mahant,Chhattisgarh,KORBA,2,650000.0,500000.0,569193.0,269193.0,10.56,15.98,0,0,1,113.83859999999999,Low
S VENKATESAN,S Venkatesan,Tamil Nadu,MADURAI,1,0.0,2500000.0,0.0,0.0,10.55,10.55,0,0,0,0.0,Low
BHUPENDER YADAV,BHUPENDER YADAV,Rajasthan,ALWAR,1,1500000.0,1200000.0,0.0,0.0,10.54,10.54,0,0,1,0.0,Low
K RADHAKRISHNAN,K RADHAKRISHNAN,Kerala,ALATHUR(SC),1,2871509.0,2871509.0,0.0,0.0,10.51,10.51,0,0,0,0.0,Low
PRADAN BARUAH,Pradan Baruah,Assam,LAKHIMPUR,2,3600000.0,2000000.0,350377.0,0.0,10.46,12.03,0,0,0,17.51885,Low
SURESH KUMAR KASHYAP,Suresh Kumar Kashyap,Himachal Pradesh,SHIMLA (SC),2,0.0,350000.0,800000.0,550000.0,9.99,15.0,0,0,1,228.57142857142856,Low
SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Maharashtra,SATARA,2,0.0,1700000.0,2106470.0,1406470.0,9.905000000000001,14.14,0,0,1,123.91000000000001,Low
PRABHUBHAI NAGARBHAI VASAVA,Prabhubhai Nagarbhai Vasava,Gujarat,BARDOLI(ST),3,369350.0,1767000.0,250000.0,175000.0,9.459999999999999,17.16,0,0,1,14.148273910582908,Low
RAMASHANKAR RAJBHAR,RAMASHANKAR RAJBHAR,Uttar Pradesh,SALEMPUR,3,1174511.0,1619000.0,1692076.0,1092076.0,9.25,19.04,0,0,1,104.5136504014824,Low
DR LATA WANKHEDE,DR. LATA WANKHEDE,Madhya Pradesh,SAGAR,2,2698500.0,1200000.0,713029.0,13029.0,9.084999999999999,11.61,0,0,1,59.41908333333333,Low
SAUMITRA KHAN,Saumitra khan,West Bengal,BISHNUPUR(SC),1,259864.0,649868.0,0.0,0.0,9.02,9.02,0,0,1,0.0,Low
